camadas,epochs,neuronios,ativacao,normalizacao,mae,rmse,mape
1,50,256,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,55594.437095033216,90943.19304668951,0.5827614474137817
1,50,256,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,97395.15766229595,172683.9207712365,1.2558866489715754
1,50,256,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,58061.30882702312,104899.26106850799,0.6273701868515483
1,50,256,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,83196.87850054403,137737.31837700697,0.6658341673818237
1,50,256,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,98446.7879666717,179424.62804198178,1.0768709687135678
1,50,256,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,72758.16020493986,140916.99346843542,0.5881318307049278
1,50,128,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,91597.12223201046,151152.21772507028,0.6917150426966066
1,50,128,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,107135.68718589404,196528.475411899,0.7687796497531816
1,50,128,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,80612.34533619678,150978.06684534816,0.6143414468802109
1,50,128,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,110443.64316396356,179046.44558540054,0.7777721597269409
1,50,128,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,110496.62614778568,200999.57084363434,0.7180658524205679
1,50,128,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,104202.48115286602,179824.93227537093,0.7175436501383637
1,50,64,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,119268.65421415384,192596.6073957196,0.8178498720218021
1,50,64,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,123956.90086768818,214118.32267671093,0.6836232602102952
1,50,64,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,112335.41952739518,189812.2539030145,0.7625122415830188
1,50,64,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,130529.48704346377,207888.98279555578,0.8917073621489683
1,50,64,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,126668.80777896388,216346.1486020586,0.6950662958910668
1,50,64,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,127093.73065020182,207263.5793898502,0.8583369510680072
1,50,32,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,134801.4419416793,214148.99342828844,0.9159194605792806
1,50,32,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,137224.32517937102,224480.63210187238,0.7977775440846822
1,50,32,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,131259.42524649587,212211.24589019894,0.8873317390498248
1,50,32,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,139843.24729739307,220962.2540945925,0.9501251868252097
1,50,32,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,139226.42798235337,225930.1601669619,0.8332030254827436
1,50,32,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,138221.83456441425,220568.67210497643,0.9344998286248852
1,100,256,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,69009.8900515177,103307.04566781658,0.6952696570603971
1,100,256,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,111219.06240553204,145302.3366316921,2.549887283449117
1,100,256,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,92714.55158909863,122409.90657950913,0.9599049031048629
1,100,256,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,55857.8255781176,79868.4550963089,0.7181625184913834
1,100,256,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,96653.20990779928,136686.41338767807,2.1873851502786614
1,100,256,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,80656.26526013366,105243.75585617582,0.9292896906639286
1,100,128,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,51629.43368222492,74827.76565131727,0.6885361380909463
1,100,128,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,102068.38505139056,155972.96386397234,2.0118674064830353
1,100,128,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,82034.35068328954,108247.99713377192,0.9262388274382131
1,100,128,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,53898.37497862478,84550.65853300401,0.5989944759989103
1,100,128,swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,96522.58346243954,158304.52908269406,1.716148303675461
1,100,128,swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,59103.12782276066,103971.6280572787,0.6514415901595364
1,100,64,relu,<class 'sklearn.preprocessing._data.StandardScaler'>,66119.75904967736,111938.24803096827,0.6001243760799699
1,100,64,relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,99255.54460776904,180985.97005511177,1.0540267770794904
1,100,64,relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,59011.26097232745,115764.1106422755,0.5855032211482065
1,100,64,swish,<class 'sklearn.preprocessing._data.StandardScaler'>,94248.58135406974,154574.51037055408,0.707572224675882
